PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
Bam Adebayo,MIA,32.4,20.0,10.0,3.1,71,42.37,6.52
Baylor Scheierman,BOS,18.2,5.2,3.5,1.4,75,15.559999999999999,2.39
Ben Saraf,BKN,20.2,7.2,2.0,3.3,42,19.81,3.05
Ben Sheppard,IND,21.4,7.1,3.0,1.8,65,18.62,2.86
Bennedict Mathurin,LAC,30.4,17.9,5.5,2.3,52,34.87,5.36
Bilal Coulibaly,WAS,26.3,11.5,4.3,2.5,55,26.580000000000002,4.09
Bismack Biyombo,SAS,5.7,0.9,1.0,0.2,24,3.71,0.57
Blake Wesley,POR,12.3,5.1,1.3,2.1,29,12.979999999999999,2.0
Bobby Portis,MIL,24.2,13.7,6.4,1.6,67,28.480000000000004,4.38
Bogdan Bogdanović,LAC,19.6,7.0,2.5,2.3,22,18.33,2.82
Bones Hyland,MIN,16.6,8.5,1.8,2.6,71,18.82,2.9
Branden Carlson,OKC,10.2,4.8,2.6,0.6,40,10.84,1.67
Brandin Podziemski,GSW,28.5,13.7,5.2,3.8,80,32.11,4.94
Brandon Ingram,TOR,33.8,21.5,5.6,3.7,75,41.67,6.41
Brandon Miller,CHA,30.3,20.2,5.0,3.4,63,38.39,5.91
Brandon Williams,DAL,22.2,13.0,2.9,3.9,66,27.830000000000002,4.28
Brice Sensabaugh,UTA,23.6,14.9,3.1,1.9,74,27.310000000000002,4.2
Bronny James,LAL,8.6,2.7,0.5,1.2,40,7.48,1.15
Brook Lopez,LAC,21.6,8.3,3.5,1.3,73,19.53,3.0
Brooks Barnhizer,OKC,7.6,1.3,1.8,0.5,38,5.77,0.89
Bruce Brown,DEN,24.3,7.8,3.8,2.0,80,21.13,3.25
Bryce McGowens,NOP,21.0,8.1,2.1,1.5,42,18.33,2.82
Bub Carrington,WAS,27.5,10.4,3.4,4.6,80,28.27,4.35
Buddy Hield,ATL,16.0,7.2,2.3,1.4,50,15.940000000000001,2.45
CJ McCollum,ATL,29.9,18.6,3.3,3.9,75,36.06,5.55
Cade Cunningham,DET,34.2,24.4,5.6,9.9,62,53.989999999999995,8.31
Caleb Love,POR,21.1,10.6,2.4,2.6,48,22.75,3.5
Caleb Martin,DAL,14.8,3.9,2.5,1.4,58,12.440000000000001,1.91
Cam Christie,LAC,8.8,2.9,1.4,0.6,54,7.5600000000000005,1.16
Cam Spencer,MEM,23.8,11.1,2.5,5.6,72,28.64,4.41
Cam Thomas,MIL,21.0,13.5,1.7,2.6,42,25.06,3.86
